CAPEX,Replacement,Charging,Energy discharged,O&M,End of life,LCOS,Technology,Duration
356.24,0.0,37.97,22976.76,9.78,4.13,408.12,Li-ion,2.0
303.85,0.0,37.97,45953.51,5.13,2.06,349.01,Li-ion,4.0
286.39,0.0,37.97,68930.27,3.57,1.38,329.31,Li-ion,6.0
277.66,0.0,37.97,91907.02,2.8,1.03,319.46,Li-ion,8.0
272.42,0.0,37.97,114883.78,2.33,0.83,313.54,Li-ion,10.0
268.92,0.0,37.97,137860.53,2.02,0.69,309.6,Li-ion,12.0
581.37,0.0,43.4,26661.36,10.33,3.66,638.74,Nas,2.0
459.47,0.0,43.4,53322.71,5.44,1.83,510.13,Nas,4.0
418.83,0.0,43.4,79984.07,3.82,1.22,467.26,Nas,6.0
398.52,0.0,43.4,106645.42,3.0,0.91,445.83,Nas,8.0
386.33,0.0,43.4,133306.78,2.51,0.73,432.97,Nas,10.0
378.2,0.0,43.4,159968.13,2.19,0.61,424.39,Nas,12.0
955.68,0.0,45.61,9835.97,9.63,14.7,1025.61,Lead-Acid,2.0
803.17,0.0,45.61,19671.94,5.09,7.35,861.23,Lead-Acid,4.0
752.34,0.0,45.61,29507.9,3.58,4.9,806.43,Lead-Acid,6.0
726.92,0.0,45.61,39343.87,2.83,3.67,779.03,Lead-Acid,8.0
711.67,0.0,45.61,49179.84,2.37,2.94,762.6,Lead-Acid,10.0
701.51,0.0,45.61,59015.81,2.07,2.45,751.64,Lead-Acid,12.0
222.71,8.44,44.15,71841.11,16.88,-4.25,287.94,Vanadium Flow,2.0
174.0,4.22,44.15,143682.22,9.91,-4.49,227.79,Vanadium Flow,4.0
157.76,2.81,44.15,215523.33,7.59,-4.57,207.75,Vanadium Flow,6.0
149.64,2.11,44.15,287364.44,6.43,-4.61,197.72,Vanadium Flow,8.0
144.76,1.69,44.15,359205.55,5.73,-4.63,191.71,Vanadium Flow,10.0
141.52,1.41,44.15,431046.66,5.27,-4.65,187.7,Vanadium Flow,12.0
678.05,0.0,90.59,74625.51,45.16,0.28,814.09,Hydrogen,2.0
343.05,0.0,90.59,149251.02,23.18,0.14,456.96,Hydrogen,4.0
231.38,0.0,90.59,223876.53,15.86,0.09,337.92,Hydrogen,6.0
175.54,0.0,90.59,298502.04,12.19,0.07,278.4,Hydrogen,8.0
142.04,0.0,90.59,373127.55,10.0,0.06,242.69,Hydrogen,10.0
119.71,0.0,90.59,447753.05,8.53,0.05,218.88,Hydrogen,12.0
2676.17,0.0,38.36,75854.75,1.61,0.05,2716.19,Supercapacitor,2.0
2656.39,0.0,38.36,151709.51,0.81,0.02,2695.59,Supercapacitor,4.0
2649.8,0.0,38.36,227564.26,0.54,0.02,2688.72,Supercapacitor,6.0
2646.51,0.0,38.36,303419.01,0.4,0.01,2685.28,Supercapacitor,8.0
2644.53,0.0,38.36,379273.77,0.32,0.01,2683.22,Supercapacitor,10.0
2643.21,0.0,38.36,455128.52,0.27,0.01,2681.85,Supercapacitor,12.0
