Technology,t,LCOS
HD Hydro,6.8,120.44
HD Hydro,6.9,119.6
HD Hydro,7.0,118.78
HD Hydro,7.1,117.98
HD Hydro,7.2,117.21
HD Hydro,7.3,116.46
HD Hydro,7.4,115.73
HD Hydro,7.5,115.02
HD Hydro,7.6,114.32
HD Hydro,7.7,113.65
HD Hydro,7.8,112.99
HD Hydro,7.9,112.35
HD Hydro,8.0,111.72
HD Hydro,8.1,111.11
HD Hydro,8.2,110.52
HD Hydro,8.3,109.94
HD Hydro,8.4,109.37
HD Hydro,8.5,108.82
HD Hydro,8.6,108.28
HD Hydro,8.7,107.75
HD Hydro,8.8,107.23
HD Hydro,8.9,106.73
HD Hydro,9.0,106.24
HD Hydro,9.1,105.75
HD Hydro,9.2,105.28
HD Hydro,9.3,104.82
HD Hydro,9.4,104.37
HD Hydro,9.5,103.93
HD Hydro,9.6,103.49
HD Hydro,9.7,103.07
HD Hydro,9.8,102.65
HD Hydro,9.9,102.24
HD Hydro,10.0,101.85
HD Hydro,10.1,101.45
HD Hydro,10.2,101.07
HD Hydro,10.3,100.69
HD Hydro,10.4,100.33
HD Hydro,10.5,99.96
HD Hydro,10.6,99.61
HD Hydro,10.7,99.26
HD Hydro,10.8,98.92
HD Hydro,10.9,98.58
HD Hydro,11.0,98.25
HD Hydro,11.1,97.93
HD Hydro,11.2,97.61
HD Hydro,11.3,97.3
HD Hydro,11.4,96.99
HD Hydro,11.5,96.69
HD Hydro,11.6,96.4
HD Hydro,11.7,96.1
HD Hydro,11.8,95.82
HD Hydro,11.9,95.54
HD Hydro,12.0,95.26
HD Hydro U,0.1,4546.4
HD Hydro U,0.2,2363.23
HD Hydro U,0.3,1635.51
HD Hydro U,0.4,1271.65
HD Hydro U,0.5,1053.33
HD Hydro U,0.6,907.79
HD Hydro U,0.7,803.83
HD Hydro U,0.8,725.86
HD Hydro U,0.9,665.22
HD Hydro U,1.0,616.7
HD Hydro U,1.1,577.01
HD Hydro U,1.2,543.93
HD Hydro U,1.3,515.94
HD Hydro U,1.4,491.95
HD Hydro U,1.5,471.16
HD Hydro U,1.6,452.96
HD Hydro U,1.7,436.91
HD Hydro U,1.8,422.64
HD Hydro U,1.9,409.88
HD Hydro U,2.0,398.39
HD Hydro U,2.1,387.99
HD Hydro U,2.2,378.54
HD Hydro U,2.3,369.91
HD Hydro U,2.4,362.0
HD Hydro U,2.5,354.72
HD Hydro U,2.6,348.0
HD Hydro U,2.7,341.78
HD Hydro U,2.8,336.01
HD Hydro U,2.9,330.63
HD Hydro U,3.0,325.61
HD Hydro U,3.1,320.92
HD Hydro U,3.2,316.52
HD Hydro U,3.3,312.38
HD Hydro U,3.4,308.49
HD Hydro U,3.5,304.82
HD Hydro U,3.6,301.36
HD Hydro U,3.7,298.08
HD Hydro U,3.8,294.97
HD Hydro U,3.9,292.03
HD Hydro U,4.0,289.23
HD Hydro U,4.1,286.56
HD Hydro U,4.2,284.03
HD Hydro U,4.3,281.61
HD Hydro U,4.4,279.3
HD Hydro U,4.5,277.1
HD Hydro U,4.6,274.99
HD Hydro U,4.7,272.97
HD Hydro U,4.8,271.03
HD Hydro U,4.9,269.18
HD Hydro U,5.0,267.4
HD Hydro U,5.1,265.68
HD Hydro U,5.2,264.04
HD Hydro U,5.3,262.45
HD Hydro U,5.4,260.93
HD Hydro U,5.5,259.46
HD Hydro U,5.6,258.04
HD Hydro U,5.7,256.67
HD Hydro U,5.8,255.35
HD Hydro U,5.9,254.07
HD Hydro U,6.0,252.84
HD Hydro U,6.1,251.65
HD Hydro U,6.2,250.49
HD Hydro U,6.3,249.38
HD Hydro U,6.4,248.29
HD Hydro U,6.5,247.24
HD Hydro U,6.6,246.23
HD Hydro U,6.7,245.24
HD Hydro U,6.8,244.28
HD Hydro U,6.9,243.35
HD Hydro U,7.0,242.44
HD Hydro U,7.1,241.57
HD Hydro U,7.2,240.71
HD Hydro U,7.3,239.88
HD Hydro U,7.4,239.07
HD Hydro U,7.5,238.29
HD Hydro U,7.6,237.52
HD Hydro U,7.7,236.77
HD Hydro U,7.8,236.05
HD Hydro U,7.9,235.34
HD Hydro U,8.0,234.65
HD Hydro U,8.1,233.97
HD Hydro U,8.2,233.32
HD Hydro U,8.3,232.68
HD Hydro U,8.4,232.05
HD Hydro U,8.5,231.44
HD Hydro U,8.6,230.84
HD Hydro U,8.7,230.26
HD Hydro U,8.8,229.69
HD Hydro U,8.9,229.13
HD Hydro U,9.0,228.58
HD Hydro U,9.1,228.05
HD Hydro U,9.2,227.53
HD Hydro U,9.3,227.02
HD Hydro U,9.4,226.52
HD Hydro U,9.5,226.03
HD Hydro U,9.6,225.55
HD Hydro U,9.7,225.08
HD Hydro U,9.8,224.62
HD Hydro U,9.9,224.17
HD Hydro U,10.0,223.73
HD Hydro U,10.1,223.3
HD Hydro U,10.2,222.88
HD Hydro U,10.3,222.46
HD Hydro U,10.4,222.05
HD Hydro U,10.5,221.65
HD Hydro U,10.6,221.26
HD Hydro U,10.7,220.88
HD Hydro U,10.8,220.5
HD Hydro U,10.9,220.13
HD Hydro U,11.0,219.76
HD Hydro U,11.1,219.41
HD Hydro U,11.2,219.05
HD Hydro U,11.3,218.71
HD Hydro U,11.4,218.37
HD Hydro U,11.5,218.04
HD Hydro U,11.6,217.71
HD Hydro U,11.7,217.39
HD Hydro U,11.8,217.07
HD Hydro U,11.9,216.76
HD Hydro U,12.0,216.45
Pumped Hydro,0.1,3354.23
Pumped Hydro,0.2,1702.22
Pumped Hydro,0.3,1151.55
Pumped Hydro,0.4,876.21
Pumped Hydro,0.5,711.01
Pumped Hydro,0.6,600.87
Pumped Hydro,0.7,522.21
Pumped Hydro,0.8,463.21
Pumped Hydro,0.9,417.32
Pumped Hydro,1.0,380.61
Pumped Hydro,1.1,350.57
Pumped Hydro,1.2,325.54
Pumped Hydro,1.3,304.36
Pumped Hydro,1.4,286.21
Pumped Hydro,1.5,270.47
Pumped Hydro,1.6,256.71
Pumped Hydro,1.7,244.56
Pumped Hydro,1.8,233.76
Pumped Hydro,1.9,224.1
Pumped Hydro,2.0,215.4
Pumped Hydro,2.1,207.54
Pumped Hydro,2.2,200.39
Pumped Hydro,2.3,193.86
Pumped Hydro,2.4,187.87
Pumped Hydro,2.5,182.36
Pumped Hydro,2.6,177.28
Pumped Hydro,2.7,172.57
Pumped Hydro,2.8,168.2
Pumped Hydro,2.9,164.14
Pumped Hydro,3.0,160.34
Pumped Hydro,3.1,156.79
Pumped Hydro,3.2,153.45
Pumped Hydro,3.3,150.33
Pumped Hydro,3.4,147.38
Pumped Hydro,3.5,144.6
Pumped Hydro,3.6,141.98
Pumped Hydro,3.7,139.5
Pumped Hydro,3.8,137.15
Pumped Hydro,3.9,134.92
Pumped Hydro,4.0,132.8
Pumped Hydro,4.1,130.79
Pumped Hydro,4.2,128.87
Pumped Hydro,4.3,127.04
Pumped Hydro,4.4,125.3
Pumped Hydro,4.5,123.63
Pumped Hydro,4.6,122.03
Pumped Hydro,4.7,120.5
Pumped Hydro,4.8,119.04
Pumped Hydro,4.9,117.63
Pumped Hydro,5.0,116.28
Pumped Hydro,5.1,114.99
Pumped Hydro,5.2,113.74
Pumped Hydro,5.3,112.54
Pumped Hydro,5.4,111.39
Pumped Hydro,5.5,110.28
Pumped Hydro,5.6,109.2
Pumped Hydro,5.7,108.17
Pumped Hydro,5.8,107.17
Pumped Hydro,5.9,106.2
Pumped Hydro,6.0,105.27
Pumped Hydro,6.1,104.37
Pumped Hydro,6.2,103.49
Pumped Hydro,6.3,102.65
Pumped Hydro,6.4,101.83
Pumped Hydro,6.5,101.03
Pumped Hydro,6.6,100.26
Pumped Hydro,6.7,99.52
Pumped Hydro,6.8,98.79
Pumped Hydro,6.9,98.09
Pumped Hydro,7.0,97.4
Pumped Hydro,7.1,96.74
Pumped Hydro,7.2,96.09
Pumped Hydro,7.3,95.46
Pumped Hydro,7.4,94.85
Pumped Hydro,7.5,94.26
Pumped Hydro,7.6,93.68
Pumped Hydro,7.7,93.11
Pumped Hydro,7.8,92.56
Pumped Hydro,7.9,92.03
Pumped Hydro,8.0,91.5
Pumped Hydro,8.1,90.99
Pumped Hydro,8.2,90.5
Pumped Hydro,8.3,90.01
Pumped Hydro,8.4,89.54
Pumped Hydro,8.5,89.07
Pumped Hydro,8.6,88.62
Pumped Hydro,8.7,88.18
Pumped Hydro,8.8,87.75
Pumped Hydro,8.9,87.33
Pumped Hydro,9.0,86.92
Pumped Hydro,9.1,86.51
Pumped Hydro,9.2,86.12
Pumped Hydro,9.3,85.73
Pumped Hydro,9.4,85.35
Pumped Hydro,9.5,84.98
Pumped Hydro,9.6,84.62
Pumped Hydro,9.7,84.27
Pumped Hydro,9.8,83.92
Pumped Hydro,9.9,83.58
Pumped Hydro,10.0,83.24
Pumped Hydro,10.1,82.92
Pumped Hydro,10.2,82.6
Pumped Hydro,10.3,82.28
Pumped Hydro,10.4,81.97
Pumped Hydro,10.5,81.67
Pumped Hydro,10.6,81.37
Pumped Hydro,10.7,81.08
Pumped Hydro,10.8,80.8
Pumped Hydro,10.9,80.52
Pumped Hydro,11.0,80.24
Pumped Hydro,11.1,79.97
Pumped Hydro,11.2,79.7
Pumped Hydro,11.3,79.44
Pumped Hydro,11.4,79.19
Pumped Hydro,11.5,78.93
Pumped Hydro,11.6,78.69
Pumped Hydro,11.7,78.44
Pumped Hydro,11.8,78.2
Pumped Hydro,11.9,77.97
Pumped Hydro,12.0,77.74
Compressed Air,0.1,4160.63
Compressed Air,0.2,2120.71
Compressed Air,0.3,1440.73
Compressed Air,0.4,1100.75
Compressed Air,0.5,896.75
Compressed Air,0.6,760.76
Compressed Air,0.7,663.62
Compressed Air,0.8,590.76
Compressed Air,0.9,534.1
Compressed Air,1.0,488.77
Compressed Air,1.1,451.68
Compressed Air,1.2,420.77
Compressed Air,1.3,394.62
Compressed Air,1.4,372.2
Compressed Air,1.5,352.77
Compressed Air,1.6,335.77
Compressed Air,1.7,320.77
Compressed Air,1.8,307.44
Compressed Air,1.9,295.51
Compressed Air,2.0,284.77
Compressed Air,2.1,275.06
Compressed Air,2.2,266.23
Compressed Air,2.3,258.17
Compressed Air,2.4,250.78
Compressed Air,2.5,243.98
Compressed Air,2.6,237.7
Compressed Air,2.7,231.89
Compressed Air,2.8,226.49
Compressed Air,2.9,221.47
Compressed Air,3.0,216.78
Compressed Air,3.1,212.39
Compressed Air,3.2,208.28
Compressed Air,3.3,204.41
Compressed Air,3.4,200.78
Compressed Air,3.5,197.35
Compressed Air,3.6,194.11
Compressed Air,3.7,191.05
Compressed Air,3.8,188.15
Compressed Air,3.9,185.39
Compressed Air,4.0,182.78
Compressed Air,4.1,180.29
Compressed Air,4.2,177.92
Compressed Air,4.3,175.66
Compressed Air,4.4,173.51
Compressed Air,4.5,171.45
Compressed Air,4.6,169.47
Compressed Air,4.7,167.59
Compressed Air,4.8,165.78
Compressed Air,4.9,164.04
Compressed Air,5.0,162.38
Compressed Air,5.1,160.78
Compressed Air,5.2,159.24
Compressed Air,5.3,157.76
Compressed Air,5.4,156.34
Compressed Air,5.5,154.96
Compressed Air,5.6,153.64
Compressed Air,5.7,152.36
Compressed Air,5.8,151.12
Compressed Air,5.9,149.93
Compressed Air,6.0,148.78
Compressed Air,6.1,147.67
Compressed Air,6.2,146.59
Compressed Air,6.3,145.54
Compressed Air,6.4,144.53
Compressed Air,6.5,143.55
Compressed Air,6.6,142.6
Compressed Air,6.7,141.68
Compressed Air,6.8,140.78
Compressed Air,6.9,139.91
Compressed Air,7.0,139.07
Compressed Air,7.1,138.24
Compressed Air,7.2,137.45
Compressed Air,7.3,136.67
Compressed Air,7.4,135.92
Compressed Air,7.5,135.18
Compressed Air,7.6,134.46
Compressed Air,7.7,133.77
Compressed Air,7.8,133.09
Compressed Air,7.9,132.43
Compressed Air,8.0,131.78
Compressed Air,8.1,131.15
Compressed Air,8.2,130.54
Compressed Air,8.3,129.94
Compressed Air,8.4,129.35
Compressed Air,8.5,128.78
Compressed Air,8.6,128.22
Compressed Air,8.7,127.68
Compressed Air,8.8,127.14
Compressed Air,8.9,126.62
Compressed Air,9.0,126.11
Compressed Air,9.1,125.62
Compressed Air,9.2,125.13
Compressed Air,9.3,124.65
Compressed Air,9.4,124.18
Compressed Air,9.5,123.73
Compressed Air,9.6,123.28
Compressed Air,9.7,122.84
Compressed Air,9.8,122.41
Compressed Air,9.9,121.99
Compressed Air,10.0,121.58
Compressed Air,10.1,121.18
Compressed Air,10.2,120.78
Compressed Air,10.3,120.39
Compressed Air,10.4,120.01
Compressed Air,10.5,119.64
Compressed Air,10.6,119.27
Compressed Air,10.7,118.91
Compressed Air,10.8,118.56
Compressed Air,10.9,118.21
Compressed Air,11.0,117.87
Compressed Air,11.1,117.54
Compressed Air,11.2,117.21
Compressed Air,11.3,116.89
Compressed Air,11.4,116.57
Compressed Air,11.5,116.26
Compressed Air,11.6,115.95
Compressed Air,11.7,115.65
Compressed Air,11.8,115.36
Compressed Air,11.9,115.07
Compressed Air,12.0,114.78
Flywheel,0.1,2442.75
Flywheel,0.2,1615.7
Flywheel,0.3,1340.02
Flywheel,0.4,1202.18
Flywheel,0.5,1119.47
Flywheel,0.6,1064.33
Flywheel,0.7,1024.95
Flywheel,0.8,995.41
Flywheel,0.9,972.44
Flywheel,1.0,954.06
Flywheel,1.1,939.02
Flywheel,1.2,926.49
Flywheel,1.3,915.89
Flywheel,1.4,906.8
Flywheel,1.5,898.92
Flywheel,1.6,892.03
Flywheel,1.7,885.95
Flywheel,1.8,880.55
Flywheel,1.9,875.71
Flywheel,2.0,871.36
Flywheel,2.1,867.42
Flywheel,2.2,863.84
Flywheel,2.3,860.57
Flywheel,2.4,857.57
Flywheel,2.5,854.82
Flywheel,2.6,852.27
Flywheel,2.7,849.91
Flywheel,2.8,847.73
Flywheel,2.9,845.69
Flywheel,3.0,843.79
Flywheel,3.1,842.01
Flywheel,3.2,840.34
Flywheel,3.3,838.78
Flywheel,3.4,837.3
Flywheel,3.5,835.91
Flywheel,3.6,834.6
Flywheel,3.7,833.36
Flywheel,3.8,832.18
Flywheel,3.9,831.06
Flywheel,4.0,830.0
Flywheel,4.1,829.0
Flywheel,4.2,828.03
Flywheel,4.3,827.12
Flywheel,4.4,826.24
Flywheel,4.5,825.41
Flywheel,4.6,824.61
Flywheel,4.7,823.84
Flywheel,4.8,823.11
Flywheel,4.9,822.41
Flywheel,5.0,821.73
Flywheel,5.1,821.08
Flywheel,5.2,820.46
Flywheel,5.3,819.86
Flywheel,5.4,819.28
Flywheel,5.5,818.73
Flywheel,5.6,818.19
Flywheel,5.7,817.67
Flywheel,5.8,817.17
Flywheel,5.9,816.69
Flywheel,6.0,816.22
Flywheel,6.1,815.77
Flywheel,6.2,815.33
Flywheel,6.3,814.91
Flywheel,6.4,814.5
Flywheel,6.5,814.1
Flywheel,6.6,813.71
Flywheel,6.7,813.34
Flywheel,6.8,812.98
Flywheel,6.9,812.62
Flywheel,7.0,812.28
Flywheel,7.1,811.95
Flywheel,7.2,811.62
Flywheel,7.3,811.31
Flywheel,7.4,811.0
Flywheel,7.5,810.71
Flywheel,7.6,810.42
Flywheel,7.7,810.13
Flywheel,7.8,809.86
Flywheel,7.9,809.59
Flywheel,8.0,809.33
Flywheel,8.1,809.07
Flywheel,8.2,808.82
Flywheel,8.3,808.58
Flywheel,8.4,808.34
Flywheel,8.5,808.11
Flywheel,8.6,807.88
Flywheel,8.7,807.66
Flywheel,8.8,807.45
Flywheel,8.9,807.24
Flywheel,9.0,807.03
Flywheel,9.1,806.83
Flywheel,9.2,806.63
Flywheel,9.3,806.44
Flywheel,9.4,806.25
Flywheel,9.5,806.06
Flywheel,9.6,805.88
Flywheel,9.7,805.7
Flywheel,9.8,805.53
Flywheel,9.9,805.36
Flywheel,10.0,805.19
Flywheel,10.1,805.03
Flywheel,10.2,804.87
Flywheel,10.3,804.71
Flywheel,10.4,804.56
Flywheel,10.5,804.4
Flywheel,10.6,804.26
Flywheel,10.7,804.11
Flywheel,10.8,803.97
Flywheel,10.9,803.83
Flywheel,11.0,803.69
Flywheel,11.1,803.55
Flywheel,11.2,803.42
Flywheel,11.3,803.29
Flywheel,11.4,803.16
Flywheel,11.5,803.03
Flywheel,11.6,802.91
Flywheel,11.7,802.79
Flywheel,11.8,802.67
Flywheel,11.9,802.55
Flywheel,12.0,802.44
Li-ion (2030 NREL forecast) L,0.1,1519.69
Li-ion (2030 NREL forecast) L,0.2,839.23
Li-ion (2030 NREL forecast) L,0.3,612.4
Li-ion (2030 NREL forecast) L,0.4,498.99
Li-ion (2030 NREL forecast) L,0.5,430.95
Li-ion (2030 NREL forecast) L,0.6,385.58
Li-ion (2030 NREL forecast) L,0.7,353.18
Li-ion (2030 NREL forecast) L,0.8,328.88
Li-ion (2030 NREL forecast) L,0.9,309.98
Li-ion (2030 NREL forecast) L,1.0,294.85
Li-ion (2030 NREL forecast) L,1.1,282.48
Li-ion (2030 NREL forecast) L,1.2,272.17
Li-ion (2030 NREL forecast) L,1.3,263.45
Li-ion (2030 NREL forecast) L,1.4,255.97
Li-ion (2030 NREL forecast) L,1.5,249.49
Li-ion (2030 NREL forecast) L,1.6,243.82
Li-ion (2030 NREL forecast) L,1.7,238.82
Li-ion (2030 NREL forecast) L,1.8,234.37
Li-ion (2030 NREL forecast) L,1.9,230.39
Li-ion (2030 NREL forecast) L,2.0,226.81
Li-ion (2030 NREL forecast) L,2.1,223.57
Li-ion (2030 NREL forecast) L,2.2,220.62
Li-ion (2030 NREL forecast) L,2.3,217.93
Li-ion (2030 NREL forecast) L,2.4,215.47
Li-ion (2030 NREL forecast) L,2.5,213.2
Li-ion (2030 NREL forecast) L,2.6,211.1
Li-ion (2030 NREL forecast) L,2.7,209.17
Li-ion (2030 NREL forecast) L,2.8,207.37
Li-ion (2030 NREL forecast) L,2.9,205.69
Li-ion (2030 NREL forecast) L,3.0,204.12
Li-ion (2030 NREL forecast) L,3.1,202.66
Li-ion (2030 NREL forecast) L,3.2,201.29
Li-ion (2030 NREL forecast) L,3.3,200.0
Li-ion (2030 NREL forecast) L,3.4,198.79
Li-ion (2030 NREL forecast) L,3.5,197.64
Li-ion (2030 NREL forecast) L,3.6,196.56
Li-ion (2030 NREL forecast) L,3.7,195.54
Li-ion (2030 NREL forecast) L,3.8,194.57
Li-ion (2030 NREL forecast) L,3.9,193.66
Li-ion (2030 NREL forecast) L,4.0,192.78
Li-ion (2030 NREL forecast) L,4.1,191.95
Li-ion (2030 NREL forecast) L,4.2,191.16
Li-ion (2030 NREL forecast) L,4.3,190.41
Li-ion (2030 NREL forecast) L,4.4,189.69
Li-ion (2030 NREL forecast) L,4.5,189.0
Li-ion (2030 NREL forecast) L,4.6,188.35
Li-ion (2030 NREL forecast) L,4.7,187.72
Li-ion (2030 NREL forecast) L,4.8,187.11
Li-ion (2030 NREL forecast) L,4.9,186.53
Li-ion (2030 NREL forecast) L,5.0,185.98
Li-ion (2030 NREL forecast) L,5.1,185.45
Li-ion (2030 NREL forecast) L,5.2,184.93
Li-ion (2030 NREL forecast) L,5.3,184.44
Li-ion (2030 NREL forecast) L,5.4,183.96
Li-ion (2030 NREL forecast) L,5.5,183.5
Li-ion (2030 NREL forecast) L,5.6,183.06
Li-ion (2030 NREL forecast) L,5.7,182.64
Li-ion (2030 NREL forecast) L,5.8,182.22
Li-ion (2030 NREL forecast) L,5.9,181.83
Li-ion (2030 NREL forecast) L,6.0,181.44
Li-ion (2030 NREL forecast) L,6.1,181.07
Li-ion (2030 NREL forecast) L,6.2,180.71
Li-ion (2030 NREL forecast) L,6.3,180.36
Li-ion (2030 NREL forecast) L,6.4,180.03
Li-ion (2030 NREL forecast) L,6.5,179.7
Li-ion (2030 NREL forecast) L,6.6,179.38
Li-ion (2030 NREL forecast) L,6.7,179.07
Li-ion (2030 NREL forecast) L,6.8,178.77
Li-ion (2030 NREL forecast) L,6.9,178.48
Li-ion (2030 NREL forecast) L,7.0,178.2
Li-ion (2030 NREL forecast) L,7.1,177.93
Li-ion (2030 NREL forecast) L,7.2,177.66
Li-ion (2030 NREL forecast) L,7.3,177.4
Li-ion (2030 NREL forecast) L,7.4,177.15
Li-ion (2030 NREL forecast) L,7.5,176.91
Li-ion (2030 NREL forecast) L,7.6,176.67
Li-ion (2030 NREL forecast) L,7.7,176.44
Li-ion (2030 NREL forecast) L,7.8,176.21
Li-ion (2030 NREL forecast) L,7.9,175.99
Li-ion (2030 NREL forecast) L,8.0,175.77
Li-ion (2030 NREL forecast) L,8.1,175.56
Li-ion (2030 NREL forecast) L,8.2,175.36
Li-ion (2030 NREL forecast) L,8.3,175.16
Li-ion (2030 NREL forecast) L,8.4,174.96
Li-ion (2030 NREL forecast) L,8.5,174.77
Li-ion (2030 NREL forecast) L,8.6,174.59
Li-ion (2030 NREL forecast) L,8.7,174.4
Li-ion (2030 NREL forecast) L,8.8,174.23
Li-ion (2030 NREL forecast) L,8.9,174.05
Li-ion (2030 NREL forecast) L,9.0,173.88
Li-ion (2030 NREL forecast) L,9.1,173.72
Li-ion (2030 NREL forecast) L,9.2,173.55
Li-ion (2030 NREL forecast) L,9.3,173.39
Li-ion (2030 NREL forecast) L,9.4,173.24
Li-ion (2030 NREL forecast) L,9.5,173.09
Li-ion (2030 NREL forecast) L,9.6,172.94
Li-ion (2030 NREL forecast) L,9.7,172.79
Li-ion (2030 NREL forecast) L,9.8,172.65
Li-ion (2030 NREL forecast) L,9.9,172.51
Li-ion (2030 NREL forecast) L,10.0,172.37
Li-ion (2030 NREL forecast) L,10.1,172.24
Li-ion (2030 NREL forecast) L,10.2,172.1
Li-ion (2030 NREL forecast) L,10.3,171.97
Li-ion (2030 NREL forecast) L,10.4,171.85
Li-ion (2030 NREL forecast) L,10.5,171.72
Li-ion (2030 NREL forecast) L,10.6,171.6
Li-ion (2030 NREL forecast) L,10.7,171.48
